country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion
Luxembourg,391232,0,1232,0,0,390000,0,609044
MS Zaandam,9,0,2,0,7,0,0,0
Macao,27673,0,123,0,3487,24063,0,41458
Macedonia,350567,0,9976,0,337068,3523,0,168436
Madagascar,68486,0,1426,0,66862,198,0,2347
Malawi,89535,0,2686,0,0,86849,0,4437
Malaysia,5278406,0,37348,0,5233268,7790,11,159079
Maldives,186694,0,316,0,163687,22691,25,345100
Mali,33164,0,743,0,32332,89,0,1544
Malta,121420,0,885,0,120149,386,0,273448
Marshall Islands,16138,0,17,0,16121,0,0,268711
Martinique,230354,0,1102,0,0,229252,0,615777
Mauritania,63848,0,997,0,62471,380,0,13025
Mauritius,43025,0,1051,0,41278,696,0,33752
Mayotte,42027,0,188,0,0,41839,0,146815
Mexico,7702809,0,334958,0,6899865,467986,0,58549
Micronesia,26547,0,65,0,0,26482,0,225953
Moldova,635145,0,12218,0,0,622927,0,158265
Monaco,17181,0,67,0,0,17114,0,431868
Mongolia,1011496,0,2284,0,1009212,0,0,299429
Montenegro,296542,0,2846,0,291794,1902,0,472238
Montserrat,1403,0,8,0,1376,19,0,282578
Morocco,1278992,0,16303,0,0,1262689,0,33860
Mozambique,233731,0,2250,0,228805,2676,11,7064
Myanmar,641873,0,19495,0,620159,2219,0,11622
N. Korea,4772813,0,74,0,4772739,0,0,183636
Namibia,172389,0,4106,0,167099,1184,0,65451
Nauru,5393,0,1,0,5347,45,0,494635
Nepal,1003450,0,12031,0,991322,97,0,33199
Netherlands,8635786,0,22992,0,8612599,195,0,501747
New Caledonia,80064,0,314,0,0,79750,0,275214
New Zealand,2621111,0,5697,0,2613791,1623,0,535117
Nicaragua,18491,0,225,0,4225,14041,0,2728
Niger,9931,0,312,0,8890,729,1,381
Nigeria,267188,0,3155,0,259953,4080,11,1233
Niue,1059,0,0,0,1056,3,0,652898
Norway,1509732,0,6638,0,1503094,0,0,273930
Oman,399449,0,4628,0,0,394821,0,75028
Pakistan,1581936,0,30664,0,1538689,12583,0,6893
Palau,6290,0,10,0,6276,4,0,344979
Palestine,621008,0,5404,0,615445,159,0,116173
Panama,1059893,0,8727,0,1051102,64,16,238341
Papua New Guinea,46864,0,670,0,46168,26,0,5043
Paraguay,837602,0,20155,0,0,817447,0,114648
Peru,4572667,0,222161,0,4350506,0,4,135751
Philippines,4140383,0,66864,0,4067381,6138,0,36800
Poland,6661991,0,120598,0,0,6541393,0,176524
Portugal,5643062,0,28126,0,5614809,127,61,556484
Qatar,514524,0,690,0,513687,147,16,172664
Romania,3529735,0,68929,0,3460149,657,21,185470
Russia,24124215,0,402756,0,23545818,175641,0,165454
Rwanda,133518,0,1468,0,132039,11,0,9817
Réunion,494595,0,921,0,0,493674,0,544672
S. Korea,34571873,0,35934,0,34535939,0,0,673523
Saint Helena,2166,0,0,0,2,2164,0,354211
Saint Kitts and Nevis,6607,0,48,0,6559,0,0,122645
Saint Lucia,30215,0,410,0,29805,0,0,163225
Saint Martin,12324,0,63,0,0,12261,0,310194
Saint Pierre Miquelon,3452,0,2,0,2449,1001,0,599410
Saint Vincent and the Grenadines,9674,0,124,0,9493,57,0,86723
Samoa,17006,0,31,0,1605,15370,0,84089
San Marino,26185,0,128,0,26011,46,0,768226
Sao Tome and Principe,6778,0,80,0,6685,13,0,29770
Saudi Arabia,841469,0,9646,0,0,831823,0,23475
Senegal,89053,0,1971,0,87024,58,0,5044
Serbia,2615054,0,18057,0,2596608,389,0,302213
Seychelles,51220,0,172,0,51048,0,0,515157
Sierra Leone,7779,0,126,0,0,7653,0,937
Singapore,3006155,0,2024,0,3004131,0,4,505785
Sint Maarten,11051,0,92,0,10905,54,0,251353
Slovakia,1877605,0,21224,0,1856381,0,23,343872
Slovenia,1356546,0,7100,0,1349424,22,0,652803
Solomon Islands,25954,0,199,0,0,25755,0,35989
Somalia,27334,0,1361,0,13182,12791,0,1623
South Africa,4076463,0,102595,0,3912506,61362,192,67095
South Sudan,18819,0,147,0,18115,557,1,1620
Spain,13914811,0,121760,0,13762417,30634,231,297840
Sri Lanka,672754,0,16897,0,655852,5,0,31181
St. Barth,5507,0,6,0,0,5501,0,553746
Sudan,63993,0,5046,0,58947,0,0,1391
Suriname,82588,0,1408,0,0,81180,0,138378
Swaziland,75191,0,1427,0,73116,648,0,63462
Sweden,2754129,0,27407,0,2726492,230,0,269511
Switzerland,4453053,0,14452,0,4438309,292,0,507549
Syrian Arab Republic,57743,0,3165,0,54578,0,0,2982
Taiwan,10241523,0,19005,0,10222518,0,0,428720
Tajikistan,17786,0,125,0,17264,397,0,1786
Tanzania,43223,0,846,0,0,42377,0,683
Thailand,4770149,0,34586,0,4692636,42927,0,68069
Timor-Leste,23460,0,138,0,23102,220,0,17131
Togo,39572,0,290,0,39281,1,0,4559
Tokelau,80,0,0,0,0,80,0,58055
Tonga,16950,0,13,0,15638,1299,0,157310
Trinidad and Tobago,191496,0,4390,0,187078,28,0,136143
Tunisia,1153361,0,29423,0,0,1123938,0,95741
Turkey,17232066,0,102174,0,0,17129892,0,201399
Turks and Caicos Islands,6752,0,40,0,6709,3,4,169900
Tuvalu,2943,0,1,0,0,2942,0,243909
UAE,1067030,0,2349,0,0,1064681,0,105837
UK,24910387,0,232112,0,24678275,0,0,363666
USA,111820082,0,1219487,0,109814428,786167,940,333985
Uganda,172149,0,3632,0,100431,68086,0,3554
Ukraine,5557995,0,112418,0,5445577,0,0,128681
Uruguay,1041111,0,7664,0,1030944,2503,18,297799
Uzbekistan,253662,0,1637,0,241486,10539,23,7378
Vanuatu,12019,0,14,0,11976,29,0,37346
Venezuela,552695,0,5856,0,546537,302,31,18885
Vietnam,11625195,0,43206,0,10640971,941018,0,117481
Wallis and Futuna,3550,0,8,0,438,3104,0,323256
Western Sahara,10,0,1,0,9,0,0,16
Yemen,11945,0,2159,0,9124,662,0,383
Zambia,349304,0,4069,0,341316,3919,0,17940
Zimbabwe,266359,0,5740,0,258888,1731,12,17373
